,,,,,Label,S4.1 B,S4.2 B,S4.3 B,S4.4 B,S4.5 B,S4.6 B,SR.1 B,SR.2 B,SR.3 B,SR.4 B,SR.5 B,SR.6 B,S30.1 B,S30.2 B,S30.3 B,S30.4 B,S30.5 B,S30.6 B,PR.1 B,PR.2 B,PR.3 B,PR.4 B,PR.5 B,PR.6 B,P4.1 B,P4.2 B,P4.3 B,P4.4 B,P4.5 B,P4.6 B,P30.1 B,P30.2 B,P30.3 B,P30.4 B,P30.5 B,P30.6 B,TR.1 B,TR.2 B,TR.3 B,TR.4 B,TR.5 B,TR.6 B,T4.1 B,T4.2 B,T4.3 B,T4.4 B,T4.5 B,T4.6 B,T30.1 B,T30.2 B,T30.3 B,T30.4 B,T30.5 B,T30.6 B,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
,,,,,Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,QC,QC,QC,QC,QC,QC,QC,Pool,Pool,Pool,Pool,Pool,Pool,Pool
,,,,,Species,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Human,Human,Human,Human,Human,Human,Human,Fish,Fish,Fish,Fish,Fish,Fish,Fish
,,,,,Organ,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Brain,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Brain,Brain,Brain,Brain,Brain,Brain,Brain
,,,,,Treatment,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,,,,,,,,,,,,,,
,,,,,File ID,PersonsBrain018_MX495398_negCSH_S4_1 B_001.d,PersonsBrain006_MX495398_negCSH_S4_2 B_002.d,PersonsBrain016_MX495398_negCSH_S4_3 B_003.d,PersonsBrain004_MX495398_negCSH_S4_4 B_004.d,PersonsBrain022_MX495398_negCSH_S4_5 B_005.d,PersonsBrain050_MX495398_negCSH_S4_6 B_006.d,PersonsBrain043_MX495398_negCSH_SR_1 B_007.d,PersonsBrain051_MX495398_negCSH_SR_2 B_008.d,PersonsBrain014_MX495398_negCSH_SR_3 B_009.d,PersonsBrain023_MX495398_negCSH_SR_4 B_010.d,PersonsBrain001_MX495398_negCSH_SR_5 B_011.d,PersonsBrain027_MX495398_negCSH_SR_6 B_012.d,PersonsBrain035_MX495398_negCSH_S30_1 B_013.d,PersonsBrain053_MX495398_negCSH_S30_2 B_014.d,PersonsBrain032_MX495398_negCSH_S30_3 B_015.d,PersonsBrain054_MX495398_negCSH_S30_4 B_016.d,PersonsBrain026_MX495398_negCSH_S30_5 B_017.d,PersonsBrain007_MX495398_negCSH_S30_6 B_018.d,PersonsBrain028_MX495398_negCSH_PR_1 B_019.d,PersonsBrain038_MX495398_negCSH_PR_2 B_020.d,PersonsBrain052_MX495398_negCSH_PR_3 B_021.d,PersonsBrain046_MX495398_negCSH_PR_4 B_022.d,PersonsBrain024_MX495398_negCSH_PR_5 B_023.d,PersonsBrain013_MX495398_negCSH_PR_6 B_024.d,PersonsBrain003_MX495398_negCSH_P4_1 B_025.d,PersonsBrain048_MX495398_negCSH_P4_2 B_026.d,PersonsBrain044_MX495398_negCSH_P4_3 B_027.d,PersonsBrain029_MX495398_negCSH_P4_4 B_028.d,PersonsBrain030_MX495398_negCSH_P4_5 B_029.d,PersonsBrain037_MX495398_negCSH_P4_6 B_030.d,PersonsBrain020_MX495398_negCSH_P30_1 B_031.d,PersonsBrain039_MX495398_negCSH_P30_2 B_032.d,PersonsBrain010_MX495398_negCSH_P30_3 B_033.d,PersonsBrain033_MX495398_negCSH_P30_4 B_034.d,PersonsBrain031_MX495398_negCSH_P30_5 B_035.d,PersonsBrain015_MX495398_negCSH_P30_6 B_036.d,PersonsBrain011_MX495398_negCSH_TR_1 B_037.d,PersonsBrain002_MX495398_negCSH_TR_2 B_038.d,PersonsBrain021_MX495398_negCSH_TR_3 B_039.d,PersonsBrain042_MX495398_negCSH_TR_4 B_040.d,PersonsBrain017_MX495398_negCSH_TR_5 B_041.d,PersonsBrain019_MX495398_negCSH_TR_6 B_042.d,PersonsBrain040_MX495398_negCSH_T4_1 B_043.d,PersonsBrain041_MX495398_negCSH_T4_2 B_044.d,PersonsBrain025_MX495398_negCSH_T4_3 B_045.d,PersonsBrain009_MX495398_negCSH_T4_4 B_046.d,PersonsBrain047_MX495398_negCSH_T4_5 B_047.d,PersonsBrain045_MX495398_negCSH_T4_6 B_048.d,PersonsBrain005_MX495398_negCSH_T30_1 B_049.d,PersonsBrain012_MX495398_negCSH_T30_2 B_050.d,PersonsBrain034_MX495398_negCSH_T30_3 B_051.d,PersonsBrain049_MX495398_negCSH_T30_4 B_052.d,PersonsBrain008_MX495398_negCSH_T30_5 B_053.d,PersonsBrain036_MX495398_negCSH_T30_6 B_054.d,Biorec001_MX495398_negCSH_prePersonsBrain001.d,Biorec002_MX495398_negCSH_postPersonsBrain010.d,Biorec003_MX495398_negCSH_postPersonsBrain020.d,Biorec004_MX495398_negCSH_postPersonsBrain030.d,Biorec005_MX495398_negCSH_postPersonsBrain040.d,Biorec006_MX495398_negCSH_postPersonsBrain050.d,Biorec007_MX495398_negCSH_postPersonsBrain054.d,PoolQC001_MX495398_negCSH_prePersonsBrain001.d,PoolQC002_MX495398_negCSH_postPersonsBrain010.d,PoolQC003_MX495398_negCSH_postPersonsBrain020.d,PoolQC004_MX495398_negCSH_postPersonsBrain030.d,PoolQC005_MX495398_negCSH_postPersonsBrain040.d,PoolQC006_MX495398_negCSH_postPersonsBrain050.d,PoolQC007_MX495398_negCSH_postPersonsBrain054.d
Identifier,Annotation,Species,InChI Key,m/z,RT,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height
6.62_546.55,1_5-PAHSA-d9 iSTD ,[M-H]-,,546.5464,6.624,201634,202381,225418,188419,196721,203494,208255,192539,197150,212619,192828,192588,235293,212805,205611,228576,212131,195024,193825,203305,211326,227681,207435,214431,196190,193960,192325,195728,183971,236179,198532,218894,182403,214982,198989,202971,204479,200909,190621,211274,187771,188441,218752,202004,197184,206798,219303,184500,175628,201758,220543,198252,174351,188644,255227,278616,379784,303339,293892,306576,322394,189324,194030,198661,210735,215243,213844,221316
6.30_610.54_6.30_586.50,1_Cer d18:1/17:0 iSTD ,[M+CH3COO]- _[M+Cl]- ,ICWGMOFDULMCFL-QKSCFGQVSA-N,610.5441_586.4994,6.301,5327562,6815694,5910550,6089465,6588380,6043061,5953347,6295780,5824069,6598113,6453821,4991804,6843816,6927924,5503627,6234992,5747176,6587555,6520196,5791759,5787299,5359164,5179938,6131427,5655083,5968199,6190201,6223725,4945338,7277157,5961576,5639896,5498384,5811491,6185588,5660326,5916455,6622728,5862355,7004893,6063809,5389622,6197694,5887142,7020040,6290442,6489966,6426712,6132313,6105219,7012430,5576767,6518627,6155464,5152764,5589808,6856341,5841156,5990582,6168915,6169269,6398579,6125425,5979896,5934130,6070205,6005081,5971793
0.60_339.27,1_CUDA iSTD ,[M-H]- ,HPTJABJPZMULFH-UHFFFAOYSA-N,339.2663,0.602,722743,734047,735637,751080,747386,764686,757410,722809,742820,749966,729352,732515,754399,743069,673558,759436,734240,734064,707582,705366,746252,753783,709796,732877,706065,702422,704336,718962,678486,780646,723718,777929,724524,774868,742881,747764,753778,743910,711544,746030,758464,753569,759808,734218,765932,748810,827805,658886,729777,753756,790521,689370,736996,694582,620076,725314,701166,728793,786074,819558,808122,737306,743352,754508,740105,742923,763662,783418
2.50_258.25,1_FA 16:0-d3 iSTD ,[M-H]- ,IPCSVZSSVZVIGE-FIBGUPNXSA-N,258.2528,2.501,1649120,1691666,1806884,1535386,1594746,1534351,1677027,1537688,1546022,1631740,1520898,1551907,1762680,1703909,1579063,1710191,1645760,1709838,1543568,1559252,1686822,1716910,1559678,1688254,1569876,1499958,1563948,1525722,1446819,1751955,1613290,1685480,1541219,1598768,1533452,1649912,1663835,1651105,1519487,1701398,1474397,1576512,1618741,1514974,1683909,1732590,1746690,1441015,1479305,1567164,1605882,1548020,1495911,1437622,2117022,2129315,2630688,2306600,1966410,2072792,2098328,1575054,1592240,1586248,1587451,1633109,1657084,1717283
