,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
,,,,,Sample #,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,QC,QC,QC,QC,QC,QC,QC,Pool,Pool,Pool,Pool,Pool,Pool,Pool
,,,,,Species,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Human,Human,Human,Human,Human,Human,Human,Fish,Fish,Fish,Fish,Fish,Fish,Fish
,,,,,Organ,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Liver,Liver,Liver,Liver,Liver,Liver,Liver
,,,,,Treatment,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,,,,,,,,,,,,,,
,,,,,File ID,PersonsLiver027_MX495398_negCSH_S4_1 L_055.d,PersonsLiver037_MX495398_negCSH_S4_2 L_056.d,PersonsLiver017_MX495398_negCSH_S4_3 L_057.d,PersonsLiver025_MX495398_negCSH_S4_4 L_058.d,PersonsLiver024_MX495398_negCSH_S4_5 L_059.d,PersonsLiver014_MX495398_negCSH_S4_6 L_060.d,PersonsLiver041_MX495398_negCSH_SR_1 L_061.d,PersonsLiver048_MX495398_negCSH_SR_2 L_062.d,PersonsLiver016_MX495398_negCSH_SR_3 L_063.d,PersonsLiver038_MX495398_negCSH_SR_4 L_064.d,PersonsLiver004_MX495398_negCSH_SR_5 L_065.d,PersonsLiver039_MX495398_negCSH_SR_6 L_066.d,PersonsLiver006_MX495398_negCSH_S30_1 L_067.d,PersonsLiver049_MX495398_negCSH_S30_2 L_068_2.d,PersonsLiver023_MX495398_negCSH_S30_3 L_069.d,PersonsLiver033_MX495398_negCSH_S30_4 L_070.d,PersonsLiver018_MX495398_negCSH_S30_5 L_071.d,PersonsLiver053_MX495398_negCSH_S30_6 L_072.d,PersonsLiver044_MX495398_negCSH_PR_1 L_073.d,PersonsLiver054_MX495398_negCSH_PR_2 L_074.d,PersonsLiver034_MX495398_negCSH_PR_3 L_075.d,PersonsLiver008_MX495398_negCSH_PR_4 L_076.d,PersonsLiver011_MX495398_negCSH_PR_5 L_077.d,PersonsLiver028_MX495398_negCSH_PR_6 L_078.d,PersonsLiver015_MX495398_negCSH_P4__1 L_079.d,PersonsLiver045_MX495398_negCSH_P4_2 L_080.d,PersonsLiver021_MX495398_negCSH_P4_3 L_081.d,PersonsLiver047_MX495398_negCSH_P4__4 L_082.d,PersonsLiver026_MX495398_negCSH_P4__5 L_083.d,PersonsLiver035_MX495398_negCSH_P4_6 L_084.d,PersonsLiver046_MX495398_negCSH_P30_1 L_085.d,PersonsLiver029_MX495398_negCSH_P30_2 L_086.d,PersonsLiver031_MX495398_negCSH_P30_3 L_087.d,PersonsLiver005_MX495398_negCSH_P30_4 L_088.d,PersonsLiver002_MX495398_negCSH_P30_5 L_089.d,PersonsLiver010_MX495398_negCSH_P30_6 L_090.d,PersonsLiver022_MX495398_negCSH_TR_1 L_091.d,PersonsLiver030_MX495398_negCSH_TR_2 L_092.d,PersonsLiver019_MX495398_negCSH_TR_3 L_093.d,PersonsLiver051_MX495398_negCSH_TR_4 L_094.d,PersonsLiver009_MX495398_negCSH_TR_5 L_095.d,PersonsLiver043_MX495398_negCSH_TR_6 L_096.d,PersonsLiver013_MX495398_negCSH_T4_1 L_097.d,PersonsLiver040_MX495398_negCSH_T4_2 L_098.d,PersonsLiver050_MX495398_negCSH_T4_3 L_099.d,PersonsLiver020_MX495398_negCSH_T4__4 L_100.d,PersonsLiver032_MX495398_negCSH_T4__5 L_101.d,PersonsLiver012_MX495398_negCSH_T4_6 L_102.d,PersonsLiver036_MX495398_negCSH_T30_1 L_103.d,PersonsLiver007_MX495398_negCSH_T30_2 L_104.d,PersonsLiver052_MX495398_negCSH_T30_3 L_105.d,PersonsLiver003_MX495398_negCSH_T30_4 L_106.d,PersonsLiver042_MX495398_negCSH_T30_5 L_107.d,PersonsLiver001_MX495398_negCSH_T30_6 L_108.d,Biorec001_MX495398_negCSH_prePersonsLiver001.d,Biorec002_MX495398_negCSH_postPersonsLiver010.d,Biorec003_MX495398_negCSH_postPersonsLiver020.d,Biorec004_MX495398_negCSH_postPersonsLiver030.d,Biorec005_MX495398_negCSH_postPersonsLiver040.d,Biorec006_MX495398_negCSH_postPersonsLiver050.d,Biorec007_MX495398_negCSH_postPersonsLiver054.d,PoolQC001_MX495398_negCSH_prePersonsLiver001.d,PoolQC002_MX495398_negCSH_postPersonsLiver010.d,PoolQC003_MX495398_negCSH_postPersonsLiver020.d,PoolQC004_MX495398_negCSH_postPersonsLiver030.d,PoolQC005_MX495398_negCSH_postPersonsLiver040.d,PoolQC006_MX495398_negCSH_postPersonsLiver050.d,PoolQC007_MX495398_negCSH_postPersonsLiver054.d
Identifier,Annotation,Species,InChI Key,m/z,RT,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height
6.62_546.55,1_5-PAHSA-d9 iSTD ,[M-H]-,,546.5464,6.624,299790,234080,315749,242518,228694,297159,248034,254273,258556,294807,281883,266766,226599,412745,284548,275124,339433,312530,215102,232617,187393,172844,213049,188565,238849,201811,143911,204680,256746,237943,289196,287325,214741,256735,254922,253967,265889,236167,294003,241450,277333,264601,261162,259178,272076,253325,243068,262078,256650,263975,303009,247048,239357,243693,352974,266476,186463,275476,304631,359421,362474,244939,251603,244352,240873,233927,258918,256627
6.30_610.54_6.30_586.50,1_Cer d18:1/17:0 iSTD ,[M+CH3COO]- _[M+Cl]- ,ICWGMOFDULMCFL-QKSCFGQVSA-N,610.5441_586.4994,6.301,4989156,5297878,5172017,5275712,5545575,4898241,4917267,5601140,5182746,5791648,6694647,6610258,4709403,7943376,5148236,5166786,5757999,7640501,6656502,7352158,5601068,5702158,5201487,5132425,6134356,6483364,4028946,5180004,6410092,6905919,7583325,6917366,5711844,7101788,6676622,5838343,6675451,6186454,6881541,7462600,7047918,7559028,6290378,7083661,7818538,6345992,6229709,5719571,6340960,6847560,7875165,6796072,6781183,6839661,6603232,3712100,2935693,4559662,5337358,6238778,6259045,6965706,5506731,5782464,5906982,6425891,7128534,6947306
0.60_339.27,1_CUDA iSTD ,[M-H]- ,HPTJABJPZMULFH-UHFFFAOYSA-N,339.2663,0.602,783502,731889,781036,781122,714112,769510,729577,791843,758854,713576,908741,725515,825077,885785,845536,756602,770372,830828,683163,792381,668318,704779,654459,720556,758677,680719,482337,745464,737519,692673,742389,804001,700822,738885,832652,776547,734310,690057,745019,784020,712218,741854,676464,721267,727544,667872,733062,705282,719512,781386,802642,740624,713643,710092,749762,615312,641354,591556,598281,690124,702288,800544,693643,726499,718440,697731,780112,756648
2.50_258.25,1_FA 16:0-d3 iSTD ,[M-H]- ,IPCSVZSSVZVIGE-FIBGUPNXSA-N,258.2528,2.501,2000161,1624968,1915735,1934792,1733903,1842628,1850626,1781921,1932930,1757883,1935334,1835336,1930954,2350407,2091961,1876751,1885185,1974855,1734206,1962586,1572284,1614857,1771941,1677202,2007837,1702230,1256660,2019088,2029804,1931276,2125690,2282567,1800033,1991793,2155542,2274255,2128816,1917382,2308568,2044162,2145086,2131438,1984023,2146026,2097898,2058559,1935861,2079426,1902477,2042037,2208899,1881910,1922790,1858943,2402090,1907626,1622688,1975564,2010840,2300471,2304184,1857205,1845855,1908121,1873499,1808510,1953728,1886788
