,,,,,Label,S4.1 M,S4.2 M,S4.3 M,S4.4 M,S4.5 M,S4.6 M,SR.1 M,SR.2 M,SR.3 M,SR.4 M,SR.5 M,SR.6 M,S30.1 M,S30.2  M,S30.3 M,S30.4 M,S30.5 M,S30.6 M,PR.1 M,PR.2 M,PR.3 M,PR.4 M,PR.5 M,PR.6 M,P4.1 M,P4.2 M,P4.3 M,P4.4 M,P4.5 M,P4.6 M,P30.1 M,P30.2  M,P30.3 M,P30.4 M,P30.5 M,P30.6 M,TR.1 M,TR.2 M,TR.3 M,TR.4 M,TR.5 M,TR.6 M,T4.1 M,T4.2 M,T4.3 M,T4.4 M,T4.5 M,T4.6 M,T30.1 M,T30.2  M,T30.3 M,T30.4 M,T30.5 M,T30.6 M,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
,,,,,Sample #,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,QC,QC,QC,QC,QC,QC,QC,Pool,Pool,Pool,Pool,Pool,Pool,Pool
,,,,,Species,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Human,Human,Human,Human,Human,Human,Human,Fish,Fish,Fish,Fish,Fish,Fish,Fish
,,,,,Organ,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle,Muscle
,,,,,Treatment,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,,,,,,,,,,,,,,
,,,,,File ID,PersonsMuscle022_MX495398_negCSH_S4_1 M_109.d,PersonsMuscle054_MX495398_negCSH_S4_2 M_110.d,PersonsMuscle040_MX495398_negCSH_S4_3 M_111.d,PersonsMuscle012_MX495398_negCSH_S4_4 M_112.d,PersonsMuscle031_MX495398_negCSH_S4_5 M_113.d,PersonsMuscle035_MX495398_negCSH_S4_6 M_114.d,PersonsMuscle033_MX495398_negCSH_SR_1 M_115.d,PersonsMuscle003_MX495398_negCSH_SR_2 M_116.d,PersonsMuscle017_MX495398_negCSH_SR_3 M_117.d,PersonsMuscle011_MX495398_negCSH_SR_4 M_118.d,PersonsMuscle004_MX495398_negCSH_SR_5 M_119.d,PersonsMuscle015_MX495398_negCSH_SR_6 M_120.d,PersonsMuscle050_MX495398_negCSH_S30_1 M_121.d,PersonsMuscle038_MX495398_negCSH_S30_2  M_122.d,PersonsMuscle007_MX495398_negCSH_S30_3 M_123.d,PersonsMuscle005_MX495398_negCSH_S30_4 M_124.d,PersonsMuscle034_MX495398_negCSH_S30_5 M_125.d,PersonsMuscle048_MX495398_negCSH_S30_6 M_126.d,PersonsMuscle037_MX495398_negCSH_PR_1 M_127.d,PersonsMuscle001_MX495398_negCSH_PR_2 M_128.d,PersonsMuscle030_MX495398_negCSH_PR_3 M_129.d,PersonsMuscle042_MX495398_negCSH_PR_4 M_130.d,PersonsMuscle053_MX495398_negCSH_PR_5 M_131.d,PersonsMuscle019_MX495398_negCSH_PR_6 M_132.d,PersonsMuscle010_MX495398_negCSH_P4_1 M_133.d,PersonsMuscle016_MX495398_negCSH_P4_2 M_134.d,PersonsMuscle008_MX495398_negCSH_P4_3 M_135.d,PersonsMuscle039_MX495398_negCSH_P4_4 M_136.d,PersonsMuscle028_MX495398_negCSH_P4_5 M_137.d,PersonsMuscle047_MX495398_negCSH_P4_6 M_138.d,PersonsMuscle023_MX495398_negCSH_P30_1 M_139.d,PersonsMuscle020_MX495398_negCSH_P30_2  M_140.d,PersonsMuscle024_MX495398_negCSH_P30_3 M_141.d,PersonsMuscle013_MX495398_negCSH_P30_4 M_142.d,PersonsMuscle025_MX495398_negCSH_P30_5 M_143.d,PersonsMuscle009_MX495398_negCSH_P30_6 M_144.d,PersonsMuscle027_MX495398_negCSH_TR_1 M_145.d,PersonsMuscle036_MX495398_negCSH_TR_2 M_146.d,PersonsMuscle021_MX495398_negCSH_TR_3 M_147.d,PersonsMuscle029_MX495398_negCSH_TR_4 M_148.d,PersonsMuscle045_MX495398_negCSH_TR_5 M_149.d,PersonsMuscle026_MX495398_negCSH_TR_6 M_150.d,PersonsMuscle006_MX495398_negCSH_T4_1 M_151.d,PersonsMuscle046_MX495398_negCSH_T4_2 M_152.d,PersonsMuscle014_MX495398_negCSH_T4_3 M_153.d,PersonsMuscle018_MX495398_negCSH_T4_4 M_154.d,PersonsMuscle043_MX495398_negCSH_T4_5 M_155.d,PersonsMuscle041_MX495398_negCSH_T4_6 M_156.d,PersonsMuscle032_MX495398_negCSH_T30_1 M_157.d,PersonsMuscle002_MX495398_negCSH_T30_2  M_158.d,PersonsMuscle044_MX495398_negCSH_T30_3 M_159.d,PersonsMuscle052_MX495398_negCSH_T30_4 M_160.d,PersonsMuscle049_MX495398_negCSH_T30_5 M_161.d,PersonsMuscle051_MX495398_negCSH_T30_6 M_162.d,Biorec001_MX495398_negCSH_prePersonsMuscle001.d,Biorec002_MX495398_negCSH_postPersonsMuscle010.d,Biorec003_MX495398_negCSH_postPersonsMuscle020.d,Biorec004_MX495398_negCSH_postPersonsMuscle030.d,Biorec005_MX495398_negCSH_postPersonsMuscle040.d,Biorec006_MX495398_negCSH_postPersonsMuscle050.d,Biorec007_MX495398_negCSH_postPersonsMuscle054.d,PoolQC001_MX495398_negCSH_prePersonsMuscle001.d,PoolQC002_MX495398_negCSH_postPersonsMuscle010.d,PoolQC003_MX495398_negCSH_postPersonsMuscle020.d,PoolQC004_MX495398_negCSH_postPersonsMuscle030.d,PoolQC005_MX495398_negCSH_postPersonsMuscle040.d,PoolQC006_MX495398_negCSH_postPersonsMuscle050.d,PoolQC007_MX495398_negCSH_postPersonsMuscle054.d
Identifier,Annotation,Species,InChI Key,m/z,RT,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height
6.62_546.55,1_5-PAHSA-d9 iSTD ,[M-H]-,,546.5464,6.624,251847,276967,211234,171864,222061,208161,245654,213887,248226,160864,195024,258614,185993,238217,217902,166819,211382,521445,526438,492523,399961,443660,513677,449439,481615,382926,467399,564604,534816,428294,452988,596767,509380,485456,527719,586065,552443,546324,525138,501054,541571,361811,508589,494560,463988,507662,472142,557608,514992,442593,504375,599894,486831,552058,512748,580241,514504,463862,346434,364309,375832,381998,375302,419819,440066,467376,464079,462559
6.30_610.54_6.30_586.50,1_Cer d18:1/17:0 iSTD ,[M+CH3COO]- _[M+Cl]- ,ICWGMOFDULMCFL-QKSCFGQVSA-N,610.5441_586.4994,6.301,7324240,7709907,6413502,5568882,6274440,6204294,6730003,6332625,7091855,5171358,5957900,6958121,4303348,7064276,6578726,5640330,4678594,10527337,9993815,9850110,9376839,9215142,10425691,9574801,9601372,8154513,9761982,10757327,10201770,9360474,9059976,11236724,10013936,10651386,10449829,11360939,9781174,9943153,9562950,9957622,11078376,7716432,9824988,9685770,10258692,10190571,9298794,10215252,9989399,9104504,10148569,10369171,10023762,10229792,8097464,8418989,7790699,7379088,6058538,6198577,6289472,8612774,8656008,9088082,9495916,9755940,9777779,9822564
0.60_339.27,1_CUDA iSTD ,[M-H]- ,HPTJABJPZMULFH-UHFFFAOYSA-N,339.2663,0.602,838399,816173,655367,546887,820490,599580,839894,645867,762228,529294,617384,628401,685028,749240,565213,540030,766870,691294,688283,616430,718341,659415,731340,576236,720665,575847,704021,666357,746162,709862,745076,734938,672419,875608,722083,742822,783563,663151,751814,663963,843266,606517,776026,648270,860691,725382,708295,750166,771145,667036,816345,804758,789213,817647,696804,744201,756659,674768,717142,739410,764048,668246,702016,727284,747794,739372,746123,766080
2.50_258.25,1_FA 16:0-d3 iSTD ,[M-H]- ,IPCSVZSSVZVIGE-FIBGUPNXSA-N,258.2528,2.501,2024013,2165227,1748446,1515058,1833785,1814182,2174744,1776100,1983912,1366336,1689297,2116658,1990409,2035592,1907652,1550805,2107460,3008144,3147597,3042584,2613632,2853370,3168821,2604270,3163447,2522371,3043642,3257554,3176878,2781713,2834644,3442113,3039141,3415294,3187780,3503262,3234518,3281964,3052229,3094268,3508130,2314767,3300658,3139059,3115708,3264080,2988080,3459976,3102382,2837078,3163866,3566362,3053295,3356731,3129978,3228376,2975492,3036412,2454414,2513951,2573790,2564154,2589636,2685252,2843605,2930060,2952312,2984237
