,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
,,,,,Sample #,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,QC,QC,QC,QC,QC,QC,QC,Pool,Pool,Pool,Pool,Pool,Pool,Pool
,,,,,Species,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Fish,Human,Human,Human,Human,Human,Human,Human,Fish,Fish,Fish,Fish,Fish,Fish,Fish
,,,,,Organ,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Liver,Liver,Liver,Liver,Liver,Liver,Liver
,,,,,Treatment,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface 4d Starved,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface Refed,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Surface 30d Starved,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon Refed,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 4d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Pachon 30d Starved,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja Refed,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 4d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,Tinaja 30d Starved,,,,,,,,,,,,,,
,,,,,File ID,PersonsLiver027_MX495398_posCSH_S4_1 L_055.d,PersonsLiver037_MX495398_posCSH_S4_2 L_056.d,PersonsLiver017_MX495398_posCSH_S4_3 L_057.d,PersonsLiver025_MX495398_posCSH_S4_4 L_058.d,PersonsLiver024_MX495398_posCSH_S4_5 L_059.d,PersonsLiver014_MX495398_posCSH_S4_6 L_060.d,PersonsLiver041_MX495398_posCSH_SR_1 L_061.d,PersonsLiver048_MX495398_posCSH_SR_2 L_062.d,PersonsLiver016_MX495398_posCSH_SR_3 L_063.d,PersonsLiver038_MX495398_posCSH_SR_4 L_064.d,PersonsLiver004_MX495398_posCSH_SR_5 L_065.d,PersonsLiver039_MX495398_posCSH_SR_6 L_066.d,PersonsLiver006_MX495398_posCSH_S30_1 L_067.d,PersonsLiver049_MX495398_posCSH_S30_2 L_068.d,PersonsLiver023_MX495398_posCSH_S30_3 L_069.d,PersonsLiver033_MX495398_posCSH_S30_4 L_070.d,PersonsLiver018_MX495398_posCSH_S30_5 L_071.d,PersonsLiver053_MX495398_posCSH_S30_6 L_072.d,PersonsLiver044_MX495398_posCSH_PR_1 L_073.d,PersonsLiver054_MX495398_posCSH_PR_2 L_074.d,PersonsLiver034_MX495398_posCSH_PR_3 L_075.d,PersonsLiver008_MX495398_posCSH_PR_4 L_076.d,PersonsLiver011_MX495398_posCSH_PR_5 L_077.d,PersonsLiver028_MX495398_posCSH_PR_6 L_078.d,PersonsLiver015_MX495398_posCSH_P4__1 L_079.d,PersonsLiver045_MX495398_posCSH_P4_2 L_080.d,PersonsLiver021_MX495398_posCSH_P4_3 L_081.d,PersonsLiver047_MX495398_posCSH_P4__4 L_082.d,PersonsLiver026_MX495398_posCSH_P4__5 L_083.d,PersonsLiver035_MX495398_posCSH_P4_6 L_084.d,PersonsLiver046_MX495398_posCSH_P30_1 L_085.d,PersonsLiver029_MX495398_posCSH_P30_2 L_086.d,PersonsLiver031_MX495398_posCSH_P30_3 L_087.d,PersonsLiver005_MX495398_posCSH_P30_4 L_088.d,PersonsLiver002_MX495398_posCSH_P30_5 L_089.d,PersonsLiver010_MX495398_posCSH_P30_6 L_090.d,PersonsLiver022_MX495398_posCSH_TR_1 L_091.d,PersonsLiver030_MX495398_posCSH_TR_2 L_092.d,PersonsLiver019_MX495398_posCSH_TR_3 L_093.d,PersonsLiver051_MX495398_posCSH_TR_4 L_094.d,PersonsLiver009_MX495398_posCSH_TR_5 L_095.d,PersonsLiver043_MX495398_posCSH_TR_6 L_096.d,PersonsLiver013_MX495398_posCSH_T4_1 L_097.d,PersonsLiver040_MX495398_posCSH_T4_2 L_098.d,PersonsLiver050_MX495398_posCSH_T4_3 L_099.d,PersonsLiver020_MX495398_posCSH_T4__4 L_100.d,PersonsLiver032_MX495398_posCSH_T4__5 L_101.d,PersonsLiver012_MX495398_posCSH_T4_6 L_102.d,PersonsLiver036_MX495398_posCSH_T30_1 L_103.d,PersonsLiver007_MX495398_posCSH_T30_2 L_104.d,PersonsLiver052_MX495398_posCSH_T30_3 L_105.d,PersonsLiver003_MX495398_posCSH_T30_4 L_106.d,PersonsLiver042_MX495398_posCSH_T30_5 L_107.d,PersonsLiver001_MX495398_posCSH_T30_6 L_108.d,Biorec001_MX495398_posCSH_prePersonsLiver001.d,Biorec002_MX495398_posCSH_postPersonsLiver010.d,Biorec003_MX495398_posCSH_postPersonsLiver020.d,Biorec004_MX495398_posCSH_postPersonsLiver030.d,Biorec005_MX495398_posCSH_postPersonsLiver040.d,Biorec006_MX495398_posCSH_postPersonsLiver050.d,Biorec007_MX495398_posCSH_postPersonsLiver054.d,PoolQC001_MX495398_posCSH_prePersonsLiver001.d,PoolQC002_MX495398_posCSH_postPersonsLiver010.d,PoolQC003_MX495398_posCSH_postPersonsLiver020.d,PoolQC004_MX495398_posCSH_postPersonsLiver030.d,PoolQC005_MX495398_posCSH_postPersonsLiver040.d,PoolQC006_MX495398_posCSH_postPersonsLiver050.d,PoolQC007_MX495398_posCSH_postPersonsLiver054.d
Identifier,Metabolite name,Species,InChI Key,m/z,RT,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height,Peak Height
2.56_431.39,1_CAR 18:0-d3 iSTD ,[M+H]+,FNPHNLNTJNMAEE-UHFFFAOYSA-N,431.3934,2.559,71052,58268,69895,66384,64339,59647,61789,54828,69989,52580,68188,62158,67053,64019,55886,55766,68255,54370,50552,56637,50142,58223,63264,53368,70471,53299,57540,64858,83352,64480,70140,75476,58644,72514,71071,77614,75816,65505,81965,60400,75420,65959,71005,65913,68249,68409,61721,73191,65694,69347,76240,67365,61642,62308,212962,182481,161935,183218,180429,189107,193775,68071,62342,67199,62023,63268,64686,66384
11.93_1076.02_11.93_729.65_11.93_724.70,1_CE 22:1 iSTD ,[M+Chol-head-H2O+H]+_[M+Na]+_[M+NH4]+,SQHUGNAFKZZXOT-JWTURFAQSA-N,1076.0171_729.6531_724.6983,11.9293333333333,183720,202057,208585,243018,268531,247580,258657,249245,282442,268284,255304,273020,279076,273924,253448,152036,251902,270022,229103,248390,249103,237521,189750,257041,236855,257523,66130,232377,236415,288987,257383,253610,246384,206685,242589,234210,222038,231226,211799,266122,222499,240258,231976,227755,226832,256359,217438,226498,236424,230304,234555,266417,251215,208599,610406,520526,588745,484544,529386,532246,543724,241807,255390,251778,266140,275273,263450,259125
6.26_552.54_6.26_534.53_6.26_574.52,1_Cer d18:1/17:0 iSTD ,[M+H]+_[M+H-H2O]+_[M+Na]+,ICWGMOFDULMCFL-QKSCFGQVSA-N,552.5362_534.5259_574.5184,6.26233333333333,230874,204147,237426,229529,245524,196686,199809,186911,234037,179468,231550,242433,211262,241992,187494,183669,235152,217582,186559,226603,195932,208360,240409,188903,272915,208274,212905,223500,325231,253000,274210,270261,220262,262619,243185,267783,286195,247103,293740,237684,280461,261257,267537,242673,258557,253840,234227,267788,239401,248848,307665,238923,225810,228441,1134674,920903,693380,958226,981114,1021203,1045976,245648,228601,239618,224560,232392,243020,256184
5.05_376.40,1_Cholesterol-d7 iSTD ,[M+H-H2O]+,HVYWMOMLDIMFJA-IFAPJKRJSA-N,376.3965,5.047,7312,6119,6823,6930,5664,5899,5859,6360,7459,4804,6567,5080,4959,5678,6131,6046,5800,4689,4887,5385,5207,6482,5427,5606,6705,5375,5509,5718,7518,6699,7587,7839,6585,7260,8011,8526,6094,6815,8273,5991,6068,6643,6961,7204,6245,6662,5956,7567,6117,6814,6245,6459,5924,5559,36102,31298,28171,34903,32554,33069,34386,6424,6213,6398,5978,6451,6358,6378
