Sample Label,Mass (mg),Depleted
S4.1 B,4.28,
S4.2 B,4.05,
S4.3 B,3.93,
S4.4 B,3.88,
S4.5 B,4.88,
S4.6 B,4.09,
SR.1 B,4.4,
SR.2 B,4.17,
SR.3 B,3.84,
SR.4 B,4.19,
SR.5 B,3.83,
SR.6 B,3.8,
S30.1 B,3.87,
S30.2 B,4.33,
S30.3 B,4.03,
S30.4 B,3.84,
S30.5 B,4.21,
S30.6 B,4.23,
PR.1 B,3.86,
PR.2 B,3.88,
PR.3 B,4.25,
PR.4 B,3.82,TRUE
PR.5 B,4.07,
PR.6 B,3.96,
P4.1 B,4.21,
P4.2 B,3.99,
P4.3 B,3.83,
P4.4 B,3.8,TRUE
P4.5 B,3.94,
P4.6 B,3.81,TRUE
P30.1 B,4.21,
P30.2 B,4.37,
P30.3 B,4.31,
P30.4 B,3.98,
P30.5 B,3.97,
P30.6 B,3.92,
TR.1 B,4.04,
TR.2 B,4.3,
TR.3 B,4.18,
TR.4 B,3.81,
TR.5 B,3.91,
TR.6 B,3.9,
T4.1 B,3.8,
T4.2 B,4,
T4.3 B,4.1,
T4.4 B,3.8,
T4.5 B,3.8,
T4.6 B,4.2,
T30.1 B,3.8,
T30.2 B,4,
T30.3 B,3.8,
T30.4 B,3.9,
T30.5 B,3.8,
T30.6 B,4,
S4.1 L,1.7,TRUE
S4.2 L,2.8,TRUE
S4.3 L,1.6,TRUE
S4.4 L,1.9,TRUE
S4.5 L,3.98,
S4.6 L,2.28,TRUE
SR.1 L,0.86,TRUE
SR.2 L,2.08,TRUE
SR.3 L,2.58,TRUE
SR.4 L,3.65,TRUE
SR.5 L,2.22,TRUE
SR.6 L,4.06,TRUE
S30.1 L,0.49,TRUE
S30.2 L,4.12,TRUE
S30.3 L,1.19,TRUE
S30.4 L,1.94,TRUE
S30.5 L,3.11,TRUE
S30.6 L,3.95,
PR.1 L,4.27,
PR.2 L,3.74,TRUE
PR.3 L,4.18,
PR.4 L,3.57,TRUE
PR.5 L,4.31,
PR.6 L,3.37,TRUE
P4..1 L,4.37,TRUE
P4.2 L,4.11,
P4.3 L,4.26,
P4..4 L,0.31,TRUE
P4..5 L,4.29,
P4.6 L,3.68,TRUE
P30.1 L,3.6,TRUE
P30.2 L,2.51,TRUE
P30.3 L,4.03,TRUE
P30.4 L,3.72,TRUE
P30.5 L,1.54,TRUE
P30.6 L,1.89,TRUE
TR.1 L,4.3,
TR.2 L,4.02,
TR.3 L,3.97,
TR.4 L,4.17,
TR.5 L,4.36,
TR.6 L,4.22,
T4.1 L,3.97,
T4.2 L,4.12,
T4.3 L,4.36,
T4..4 L,3.89,
T4..5 L,3.88,
T4.6 L,4.4,
T30.1 L,4.32,TRUE
T30.2 L,3.95,
T30.3 L,3.95,
T30.4 L,3.92,
T30.5 L,3.96,
T30.6 L,4.32,TRUE
S4.1 M,10.44,
S4.2 M,9.84,
S4.3 M,10.35,
S4.4 M,10.32,
S4.5 M,10.37,
S4.6 M,9.93,
SR.1 M,6.9,TRUE
SR.2 M,10.65,TRUE
SR.3 M,9.89,
SR.4 M,9.98,
SR.5 M,10.26,
SR.6 M,9.46,TRUE
S30.1 M,10.13,
S30.2  M,9.91,
S30.3 M,10.05,
S30.4 M,9.82,
S30.5 M,9.81,
S30.6 M,10.39,
PR.1 M,10.34,
PR.2 M,9.8,
PR.3 M,10.09,
PR.4 M,9.9,
PR.5 M,10.4,
PR.6 M,10.27,
P4.1 M,10.34,
P4.2 M,9.19,TRUE
P4.3 M,9.7,
P4.4 M,9.87,
P4.5 M,10.09,
P4.6 M,10.19,
P30.1 M,10.11,
P30.2  M,10.39,
P30.3 M,10.01,
P30.4 M,10.08,
P30.5 M,9.8,
P30.6 M,10.13,
TR.1 M,9.88,TRUE
TR.2 M,8.68,TRUE
TR.3 M,9.86,
TR.4 M,10.4,
TR.5 M,10.18,
TR.6 M,10.34,
T4.1 M,10.36,
T4.2 M,10.36,
T4.3 M,10.11,
T4.4 M,10.03,
T4.5 M,10.24,
T4.6 M,9.87,
T30.1 M,9.82,TRUE
T30.2  M,10.25,
T30.3 M,10.17,
T30.4 M,9.98,
T30.5 M,10.14,
T30.6 M,10.19,
